0,1,8,SILVER FIG (B025),63-1/2 23.95,66-1/2 22.09,13 22.06,,,,1:08.10
1,2,9,UTOPIA LIFE (C166),31-1/2 23.63,32-3/4 21.81,23 23.15,,,,1:08.59
2,3,4,WINNER SUPREME (C226),13/4 23.39,12-3/4 21.61,33-1/4 23.61,,,,1:08.61
3,4,1,MR GENUINE (S253),53-1/2 23.95,45 21.85,45 23.10,,,,1:08.90
4,5,12,CASA DE FORCA (C289),23/4 23.51,22-3/4 21.93,55-1/4 23.49,,,,1:08.93
5,6,6,MEGA HEART (A148),84-3/4 24.15,88-3/4 22.25,65-3/4 22.61,,,,1:09.01
6,7,7,MOMENTUM GALAXY (C275),95-1/2 24.27,77-3/4 21.97,76 22.82,,,,1:09.06
7,8,11,MASSIVE POCKET (B246),42-1/2 23.79,56 22.17,86 23.12,,,,1:09.08
8,9,10,JOYFUL MOMENTS (T134),106 24.35,1110-1/4 22.29,99-1/4 22.95,,,,1:09.59
9,10,3,YOUNG LEGEND (B097),116-1/4 24.39,99-1/4 22.09,1013-1/4 23.73,,,,1:10.21
10,11,5,ALCARI (A354),73-1/2 23.95,1010 22.65,1121-1/4 24.89,,,,1:11.49
11,WV,2,COBY OPPA (C192),,,,,,,---
